model,version,sample,tokens,types,zipf_b,zipf_r2,zci,heaps_beta,heaps_r2
human,essay,ls,1569,532,-0.828922406962164,0.9333910196110948,0.7866210491280171,0.7827106100091022,0.9974815947553326
human,essay,mm,1277,523,-0.7373721610221221,0.9256539277821592,0.7118538316552503,0.8063655788406595,0.9897532046264461
human,essay,mc,1144,518,-0.6727133210363214,0.9068592913794317,0.6537340535592635,0.8033704010546057,0.9969921887176962
human,essay,tbt,1696,674,-0.7344308405698198,0.9134838050828387,0.700431439835694,0.8091528219220808,0.9981371048291316
human,essay,tolentino,2040,952,-0.6218825887300503,0.8812705638057008,0.6038025722698703,0.8277482324334728,0.9983095992844795
claude-4,claude-4,sample5,1298,562,-0.683002900499122,0.9139297450265169,0.6656450720271501,0.7962402303033261,0.9925380953021133
claude-4,claude-4,sample4,1198,546,-0.6790948237904298,0.9109896785459174,0.6609157617956963,0.7996918544416914,0.9956542586180248
claude-4,claude-4,sample3,1135,576,-0.6081170486799801,0.8864319296857691,0.5990358138826533,0.8046147869562144,0.9989186425156432
claude-4,claude-4,sample2,1252,597,-0.6409645298319284,0.8958050457091282,0.6255850777331897,0.7863035282067732,0.9984960054965827
claude-4,claude-4,sample1,1370,659,-0.6362736062460771,0.9094754222638392,0.6321594018674116,0.8052292730927691,0.9886591450575546
gpt-4,gpt-4,sample5,1502,487,-0.8336179478519007,0.9454862368008227,0.8005646404852665,0.6818850943499495,0.9983267583133427
gpt-4,gpt-4,sample4,1400,495,-0.7950636742162555,0.9420871800479538,0.7675176625814087,0.7386257883108974,0.9937012565197186
gpt-4,gpt-4,sample3,1494,522,-0.8026228362805797,0.9463954945980184,0.7768780500949243,0.7127696142452046,0.9904563023720809
gpt-4,gpt-4,sample2,1843,662,-0.7763740270248557,0.9357036101320418,0.7482018522466011,0.7153626677617637,0.9976051057704575
gpt-4,gpt-4,sample1,1407,476,-0.8177822003827919,0.9395942173862686,0.78307642673946,0.7221205343979162,0.9883295291711827
claude-4.5,claude-4.5,sample5,1372,573,-0.7227291050666445,0.9295564597984582,0.7044635931996782,0.7952671337662611,0.9910653605618137
claude-4.5,claude-4.5,sample4,1607,621,-0.7491187004764148,0.9294962430708344,0.7232547169735289,0.772458612655163,0.9921783768471989
claude-4.5,claude-4.5,sample3,1475,617,-0.7166707161846926,0.9217379964230172,0.6943191538210097,0.7703683748850687,0.9928436305288806
claude-4.5,claude-4.5,sample2,1589,635,-0.7356976728376076,0.9363003333983405,0.7188365245602275,0.743843393554023,0.9944207162477484
claude-4.5,claude-4.5,sample1,1424,627,-0.6878841504528099,0.9200893792115966,0.6734104110916113,0.7789602155892082,0.9962441368416939
gemini-2.5-flash,gemini-2.5-flash,sample5,1494,695,-0.6024157635554306,0.8486330411726328,0.5702316214232307,0.8496784621989368,0.9973636271750514
gemini-2.5-flash,gemini-2.5-flash,sample4,1366,632,-0.6211826585170829,0.8728369115901319,0.5976058262275343,0.8083912483024266,0.9958863108868307
gemini-2.5-flash,gemini-2.5-flash,sample3,1488,711,-0.6075918748358146,0.8511470940582178,0.5748889185214788,0.8015419592907402,0.9974436752413363
gemini-2.5-flash,gemini-2.5-flash,sample2,1391,678,-0.5904195891234602,0.8414866392857654,0.5586871885431304,0.8488641971745156,0.9985191195734687
gemini-2.5-flash,gemini-2.5-flash,sample1,1222,586,-0.6026457965242099,0.855670646571011,0.575092754492386,0.8099344833854104,0.9982745995404391
gemini-2.5-pro,gemini-2.5-pro,sample5,1379,604,-0.6551050636863878,0.8755207782177883,0.6201267844013252,0.8128213465664089,0.993805386343202
gemini-2.5-pro,gemini-2.5-pro,sample4,1624,709,-0.6407901839525801,0.8689135281488357,0.60669961293156,0.8083208367250274,0.9991493603134997
gemini-2.5-pro,gemini-2.5-pro,sample3,1602,660,-0.66746892491941,0.8752956584123562,0.6276801048667693,0.8197830801760418,0.9910427939405122
gemini-2.5-pro,gemini-2.5-pro,sample2,1573,663,-0.6575812130980406,0.866574140609071,0.6153116466058591,0.8121214579754575,0.9951688211450463
gemini-2.5-pro,gemini-2.5-pro,sample1,1645,711,-0.6512648969866018,0.8675440361606498,0.6121217310418565,0.8132053816222291,0.9970355307643586
gpt-5,gpt-5,sample5,1717,710,-0.7123262281573101,0.9077040612114264,0.6807836968044595,0.7864961600468984,0.9989217971249963
gpt-5,gpt-5,sample4,1839,730,-0.7245676552494555,0.9151238791772188,0.6948021289211481,0.7931690556932085,0.9925538644810973
gpt-5,gpt-5,sample3,1639,624,-0.7549403292369128,0.923481913755645,0.7227703553354156,0.7637182514796355,0.9942093618686212
gpt-5,gpt-5,sample2,2903,978,-0.7682220077759209,0.920246287440218,0.7298677444424191,0.7646689956472082,0.9934123866671822
gpt-5,gpt-5,sample1,1738,723,-0.7078279606126392,0.923851937534799,0.6897848784725512,0.7618290568854826,0.9973797429668658
