model,version,sample,tokens,types,zipf_b,zipf_r2,zci,heaps_beta,heaps_r2
human,essay,gd,618,455,-0.3869845111229292,0.8118229559137724,0.4397765657942731,0.9077274922318722,0.9988946976514378
human,essay,jm,1555,1127,-0.3866004389564914,0.79960010184246,0.43298893307148034,0.912940495160884,0.999922113795959
human,essay,vv,1164,817,-0.4088144500177632,0.7986446675132131,0.44218598554758054,0.8836019688610999,0.9995533731936025
claude-4,claude-4,sample1,575,392,-0.4388896649939932,0.8108985061449538,0.4626785630555801,0.8497180000358101,0.9998625027591223
claude-4,claude-4,sample2,568,391,-0.43271590377899843,0.8129142115896905,0.4609739284040005,0.869768760326428,0.9993640103210012
claude-4,claude-4,sample3,930,630,-0.4419139851366891,0.8165597718408684,0.46731993082165435,0.8828279739746063,0.9992364216417109
claude-4,claude-4,sample4,715,500,-0.42072931245396633,0.8210989698616517,0.4600673825614271,0.8731413058308206,0.9997565795512412
claude-4,claude-4,sample5,708,459,-0.4703246817781763,0.8113563992295977,0.47772349170197526,0.8624427627625115,0.9982533644214844
claude-4.5,claude-4.5,sample1,765,451,-0.5398884158043984,0.8762034852463839,0.5530712129225249,0.8255062945819299,0.99718884397681
claude-4.5,claude-4.5,sample2,823,586,-0.3922120525960534,0.8146703738036027,0.44363210858765056,0.9151382807712959,0.9969772984851814
claude-4.5,claude-4.5,sample3,904,566,-0.49398167399862364,0.8651770837286545,0.5216077564787313,0.8344762173023071,0.9982193908191165
claude-4.5,claude-4.5,sample4,821,575,-0.4138509033845801,0.7953078697694269,0.44256183758784473,0.9005628303073655,0.9990203713219524
claude-4.5,claude-4.5,sample5,761,492,-0.4693905757455469,0.8291352292812249,0.4877357878810012,0.8250267748888768,0.9986378521449516
gemini-2.5-flash,gemini-2.5-flash,sample1,955,667,-0.3920898351603741,0.7289326202725153,0.3968947512301004,0.8877984644587631,0.9986379952815282
gemini-2.5-flash,gemini-2.5-flash,sample2,1115,752,-0.42898089345860957,0.8016648643431581,0.4529000853920717,0.8782520817559583,0.9977376359913699
gemini-2.5-flash,gemini-2.5-flash,sample3,947,638,-0.4253692036867671,0.7936748586707194,0.44676962577051516,0.8905846151201419,0.9989618976666098
gemini-2.5-flash,gemini-2.5-flash,sample4,1114,740,-0.4282022915154173,0.7966547496200345,0.4497193353788585,0.9012477649543864,0.9974020488688028
gemini-2.5-flash,gemini-2.5-flash,sample5,1161,782,-0.425215195231857,0.7907516093068538,0.4450555441006075,0.8812931718011927,0.9990934096030714
gemini-2.5-pro,gemini-2.5-pro,sample1,1025,715,-0.39946998203904177,0.7798845719924328,0.4277829351838152,0.8795847705777805,0.996893534932687
gemini-2.5-pro,gemini-2.5-pro,sample2,903,646,-0.3840293788534723,0.7887173241655566,0.42599915576085595,0.9146935241756166,0.9994836549604813
gemini-2.5-pro,gemini-2.5-pro,sample3,1020,716,-0.4019150270655965,0.7947852480491803,0.43702350331930934,0.9071185876803532,0.9968675633956292
gemini-2.5-pro,gemini-2.5-pro,sample4,901,656,-0.3765177038937655,0.7722260950083233,0.4139706510887723,0.9086932859541894,0.9989417850915506
gemini-2.5-pro,gemini-2.5-pro,sample5,847,607,-0.38094365333258445,0.7403709029933029,0.39865442315575617,0.9233130155650208,0.9996675182572323
gpt-4,gpt-4,sample1,470,329,-0.42373641147382246,0.8396659190080183,0.47188745234696505,0.8467948856359703,0.9978088243755601
gpt-4,gpt-4,sample2,479,340,-0.418631289033497,0.8016196226771681,0.44821162515241014,0.8652240497182375,0.9992965180999684
gpt-4,gpt-4,sample3,432,287,-0.46104270538861364,0.7851503253174908,0.45802231336156607,0.8355557896823549,0.9982566116846693
gpt-4,gpt-4,sample4,323,248,-0.35294010539980075,0.7353637626517429,0.3850238950223527,0.8885226647981727,0.9997133550883095
gpt-4,gpt-4,sample5,503,344,-0.4437717968680362,0.807197463732166,0.4628208859534255,0.8904177468028965,0.9987584242217087
gpt-5,gpt-5,sample1,1020,639,-0.472115435584479,0.8175466874479036,0.48223109374361717,0.8325906754854434,0.998573221010767
gpt-5,gpt-5,sample2,810,484,-0.5328402789101303,0.8661751783283289,0.542901254398077,0.8168223318774878,0.9963948181432839
gpt-5,gpt-5,sample3,1168,740,-0.46355109357025726,0.8250985882613,0.4825352493161186,0.8592440691231791,0.9993675169663401
gpt-5,gpt-5,sample4,778,455,-0.5371864886085997,0.8746666579213067,0.5506114235804834,0.8111453601707421,0.992430437778141
gpt-5,gpt-5,sample5,1055,723,-0.4190786674723481,0.808188677556566,0.4520868062239735,0.8633409811600224,0.9994796608117293
